Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link1,0.043685,0.21224,0.28629,0,0,0,6.1488,0.011029,-3.576E-07,2.2785E-05,0.013825,8.5723E-08,0.010184,0,0,0,0,0,0,package://底盘/meshes/link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://底盘/meshes/link1.STL,,底盘.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link2,0.041831,0.13709,0.27298,0,0,0,5.4326,0.0066611,8.7021E-08,0.00011214,0.0090042,1.8428E-05,0.0084782,0,0,0,0,0,0,package://底盘/meshes/Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://底盘/meshes/Link2.STL,,280云台.STEP-1,Origin_joint2,基准轴1,joint2,fixed,-0.19538,-0.32561,0.33461,1.5708,0,1.5708,link1,0,0,0,100,1,-3.14,3.14,,,,,,,,
yaw1,0.12232,0.0034482,0.0044851,0,0,0,1.3365,0.0011694,-6.3094E-05,-4.567E-05,0.00092918,-0.00028586,0.0011202,0,0,0,0,0,0,package://底盘/meshes/yaw1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://底盘/meshes/yaw1.STL,,280云台.STEP-1/____.STEP-2,Origin_yaw1,yaw1,yaw1,fixed,-0.10047,0.091381,0.24908,-2.2049,-0.0043799,1.5438,Link2,0,0,0,100,1,-3.14,3.14,,,,,,,,
odom1,0.26312,0.18793,-0.05626,0,0,0,11.581,0.39871,4.9241E-05,0.0061107,0.53821,0.0043212,0.53782,0,0,0,0,0,0,package://底盘/meshes/odom1.STL,1,1,1,1,0,0,0,0,0,0,package://底盘/meshes/odom1.STL,,,坐标系9,yaw1,odom1,fixed,0.16103,-0.10425,-0.011112,-2.1867,-0.047995,3.0272,yaw1,0,0,0,,,,,,,,,,,,
pitch1,-2.0162,-0.030755,-2.8256,0,0,0,0.8422,0.00049763,1.9382E-06,-0.00026259,0.00091143,9.4937E-07,0.00074947,0,0,0,0,0,0,package://底盘/meshes/pitch1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://底盘/meshes/pitch1.STL,,280云台.STEP-1/____.STEP-2/pitch 2.STEP-1,Origin_pitch1,pitch11,pitch1,fixed,-0.71171,2.7639,1.9061,-1.1631,-0.47757,0.7697,yaw1,0,0,0,100,1,-3.14,3.14,,,,,,,,
camera_Link1,5.4708E-06,1.5331E-05,-0.010516,0,0,0,0.045351,6.6808E-06,-4.5883E-09,-3.406E-08,6.6928E-06,-1.5829E-08,6.4362E-06,0,0,0,0,0,0,package://底盘/meshes/camera_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://底盘/meshes/camera_Link1.STL,,280云台.STEP-1/____.STEP-2/pitch 2.STEP-1/____8mm____-MVL-HF0828M-6MPE.STEP-1;280云台.STEP-1/____.STEP-2/pitch 2.STEP-1/____CS016UC____.STEP-1,坐标系9,,camera_Link1,fixed,-2.0973,-0.0721,-2.874,-3.1416,-0.99998,3.1416,pitch1,0,0,0,,,,,,,,,,,,
yaw2,0.12232,0.0034482,0.0044851,0,0,0,1.3365,0.0011694,-6.3094E-05,-4.567E-05,0.00092918,-0.00028586,0.0011202,0,0,0,0,0,0,package://底盘/meshes/yaw2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://底盘/meshes/yaw2.STL,,280云台.STEP-1/____.STEP-1,Origin_yaw2,yaw2,yaw2,fixed,0.18405,0.091381,0.23329,0.93671,0.0043799,1.5978,Link2,0,0,0,100,1,-3.14,3.14,,,,,,,,
odom2,0.266558962355486,0.190031730972721,-0.0836577848704202,0,0,0,11.5813882735496,0.410154352354418,-0.00111679531394403,-0.0387102446428849,0.538206840891066,0.00417469534676449,0.52637986419801,0,0,0,0,0,0,package://底盘/meshes/odom2.STL,1,1,1,1,0,0,0,0,0,0,package://底盘/meshes/odom2.STL,,,坐标系8,yaw2,odom2,fixed,0.16103,-0.10425,-0.011112,-2.1867,-0.047995,3.0272,yaw2,0,0,0,,,,,,,,,,,,
pitch2,-2.0162287874281,-0.0307546380856864,-2.82556504712081,0,0,0,0.842202155615208,0.000497631251901916,1.93818329549478E-06,-0.000262589778680024,0.000911426448881413,9.49364971579363E-07,0.000749472221505134,0,0,0,0,0,0,package://底盘/meshes/pitch2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://底盘/meshes/pitch2.STL,,280云台.STEP-1/____.STEP-1/pitch 2.STEP-1,Origin_pitch2,pitch22,pitch2,fixed,-0.71171,2.7639,1.9061,-1.1631,-0.47757,0.7697,yaw2,0,0,0,100,1,-3.14,3.14,,,,,,,,
camera_Link2,0.022944819601072,0.377944450219856,-0.19307413681607,0,0,0,0.0453511869913382,6.64949155022257E-06,8.36192972549549E-09,8.85230497000332E-08,6.69284098332352E-06,-1.42017726175562E-08,6.46749878020466E-06,0,0,0,0,0,0,package://底盘/meshes/camera_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://底盘/meshes/camera_Link2.STL,,280云台.STEP-1/____.STEP-1/pitch 2.STEP-1/____CS016UC____.STEP-1;280云台.STEP-1/____.STEP-1/pitch 2.STEP-1/____8mm____-MVL-HF0828M-6MPE.STEP-1,坐标系9,,camera_Link2,fixed,-1.94,0.30586,-2.7427,0,-0.74998,-3.1416,pitch2,0,0,0,,,,,,,,,,,,
